Tari,Continent
Afghanistan,Asia
Albania,Europe
Algeria,Europe
Andorra,Africa
Angola,Oceania
Antigua and Barbuda,Europe
Argentina,Africa
Armenia,Americas
Australia,Australia
Austria,Americas
Azerbaijan,Americas
Bahamas,Asia
Bahrain,Americas
Bangladesh,Oceania
Barbados,Europe
Belarus,Asia
Belgium,Americas
Belize,Asia
Benin,Asia
Bhutan,Americas
Bolivia,Europe
Bosnia and Herzegovina,Europe
Botswana,Americas
Brazil,Africa
Brunei Darussalam,Americas
Bulgaria,Asia
Burkina Faso,Americas
Burundi,Americas
Cambodia,Europe
Cameroon,Africa
Canada,Americas
Cape Verde,Americas
Central African Republic,Africa
Chad,Asia
Chile,Europe
China,Africa
Colombia,Africa
Comoros,Asia
Congo,Africa
Cook Islands,Americas
Costa Rica,Africa
Cote d'Ivoire,Americas
Croatia,Africa
Cuba,Africa
Cyprus,Americas
Czech Republic,Asia
Democratic People's Republic of Korea,Asia
Democratic Republic of the Congo,Africa
Denmark,Americas
Djibouti,Africa
Dominica,Africa
Dominican Republic,Africa
Ecuador,Oceania
Egypt,Americas
El Salvador,Africa
Equatorial Guinea,Europe
Eritrea,Americas
Estonia,Americas
Ethiopia,Asia
Fiji,Europe
Finland,Europe
France,Africa
Gabon,Americas
Gambia,Americas
Georgia,Americas
Germany,Africa
Ghana,Americas
Greece,Africa
Grenada,Africa
Guatemala,Europe
Guinea,Africa
Guinea-Bissau,Americas
Guyana,Europe
Haiti,Oceania
Honduras,Europe
Hungary,Europe
Iceland,Americas
India,Oceania
Indonesia,Asia
Iran (Islamic Republic of),Africa
Iraq,Africa
Ireland,Asia
Israel,Europe
Italy,Africa
Jamaica,Europe
Japan,Europe
Jordan,Americas
Kazakhstan,Americas
Kenya,Americas
Kiribati,Oceania
Kuwait,Americas
Kyrgyzstan,Europe
Lao People's Democratic Republic,Africa
Latvia,Africa
Lebanon,Americas
Lesotho,Americas
Liberia,Africa
Libyan Arab Jamahiriya,Europe
Lithuania,Americas
Luxembourg,Asia
Madagascar,Europe
Malawi,Europe
Malaysia,Asia
Maldives,Asia
Mali,Asia
Malta,Asia
Marshall Islands,Europe
Mauritania,Europe
Mauritius,Asia
Mexico,Europe
Micronesia (Federated States of),Americas
Monaco,Asia
Mongolia,Europe
Montenegro,Asia
Morocco,Asia
Mozambique,Africa
Myanmar,Oceania
Namibia,Asia
Nauru,Asia
Nepal,Asia
Netherlands,Asia
New Zealand,Asia
Nicaragua,Europe
Niger,Asia
Nigeria,Africa
Niue,Africa
Norway,Africa
Oman,Europe
Pakistan,Europe
Palau,Europe
Panama,Asia
Papua New Guinea,Europe
Paraguay,Africa
Peru,Africa
Philippines,Asia
Poland,Asia
Portugal,Africa
Qatar,Europe
Republic of Korea,Oceania
Republic of Moldova,Americas
Romania,Africa
Russian Federation,Africa
Rwanda,Africa
Saint Kitts and Nevis,Americas
Saint Lucia,Oceania
Saint Vincent and the Grenadines,Europe
Samoa,Europe
San Marino,Asia
Sao Tome and Principe,Europe
Saudi Arabia,Americas
Senegal,Africa
Serbia,Africa
Seychelles,Asia
Sierra Leone,Africa
Singapore,Oceania
Slovakia,Asia
Slovenia,Europe
Solomon Islands,Oceania
Somalia,Oceania
South Africa,Americas
Spain,Africa
Sri Lanka,Africa
Sudan,Oceania
Suriname,Oceania
Swaziland,Oceania
Sweden,Europe
Switzerland,Asia
Syrian Arab Republic,Asia
Tajikistan,Oceania
Thailand,Asia
The former Yugoslav Republic of Macedonia,Americas
Timor-Leste,Oceania
Togo,Americas
Tonga,Americas
Trinidad and Tobago,Asia
Tunisia,Oceania
Turkey,Europe
Turkmenistan,Europe
Tuvalu,Americas
Uganda,Asia
Ukraine,Africa
United Arab Emirates,Europe
United Kingdom,Europe
United Republic of Tanzania,Africa
United States of America,Americas
Uruguay,Africa
Uzbekistan,Americas
Vanuatu,Americas
Venezuela,Americas
Viet Nam,Americas
Yemen,Americas
Zambia,Oceania
Zimbabwe,Africa
