tari,prodPorc,prodVite,prodOaieSiCapra,prodPasareDeCurte,consPorc,consVita,consumOaieSiCapra,consPasareDeCurte
Bulgaria,76.3,21.73,21.28,116.39,18,5,1.8,20
Czech Republic,360.32,79.33,1.65,216.69,46.6,8,0.2,24.6
Denmark,1802.19,129.99,1.78,171.09,49.5,26.6,1.2,18.2
Germany,4985.37,1185.23,44.36,1086.78,55.6,13.2,0.7,15.5
Estonia,37.8,14.7,0.58,12.11,26.7,13.8,0.5,17.3
Ireland,205.3,580.8,65.9,122.03,36.7,23.9,4.8,25.9
Greece,121.61,57.69,111.32,162.27,27.1,18.1,13.7,13.6
Spain,3439.44,643.17,206.64,1328.09,60.9,14.9,4.5,27.3
France,2281.24,1531.82,126.63,1716.44,31.7,26.9,3.3,21.1
Croatia,156.01,54.76,8.16,93.05,26.9,8.6,1.1,12.8
Italy,1603.28,1126.65,61.32,1029.03,44.7,24,1.4,15.8
Cyprus,54.98,3.92,7.11,28.8,39.8,5.7,7.6,26.6
Latvia,40.43,22.76,0.49,20.55,31.2,8.4,0.3,20.5
Lithuania,99.29,55.98,0.8,68.16,44.4,7.4,0.2,24.9
Luxembourg,9.92,9.21,0.06,0.1,45.5,43.8,1.7,39.8
Hungary,499.44,34.52,0.88,375.96,47.2,4.3,0.1,27.5
Malta,8.02,1.47,1,4.57,36.8,21,1.3,24.4
Netherlands,1289.94,385.57,17.77,720.98,20.5,3.6,2.1,54.9
Austria,530.92,215.57,0.89,109.15,66,17.8,1,17.5
Poland,2090.62,364.9,1.51,1142.75,51.2,4.7,0,20.3
Portugal,364.07,91.25,13.56,271.26,45.1,18.3,3,25.4
Romania,491.3,211.2,73.14,305,31.9,7.7,2.5,19.3
Slovenia,33.19,36.2,0.13,58.91,41,21.4,1.1,19.9
Slovakia,113.82,22.99,1.17,84.31,33.1,6.1,0.1,18
Finland,213.32,88.57,0.75,95.35,34.2,18.6,0.5,17.2
Sweden,264.87,133.53,4.61,111.86,36.4,24,1.2,14.8
United Kingdom,738.98,882.04,324.84,1454.47,27.9,22,6.1,29.2
